Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C18",0402,3,1uF,
"C11, C12, C17, C2, C21, C3, C4, C5, C6, C7, C8, C9",0402,12,0.1uF,
"C13, C14",0402,2,10uF,
"C15, C16",0402,2,33pF,
"C19, C20",0402,2,4.7uF,
"D1, D2",0402,2,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"R1, R2",0402,2,5.1k,
R10,0402,1,4.12K,
R11,0402,1,1.18K,
R12,0402,1,1.13K,
"R13, R14, R6",0402,3,10K,
"R3, R4",0402,2,27Ω,
"R5, R7",0402,2,1K,
"R8, R9",0402,2,1.5K,
"SW1, SW3",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
