Designator,Mid X,Mid Y,Rotation,Layer
C1,152.35,-83.71,180.0,top
C10,160.85,-89.03,270.0,top
C11,160.55,-77.49,90.0,top
C12,157.42,-75.52,90.0,top
C13,154.84,-64.45,180.0,top
C14,155.35,-69.64,180.0,top
C15,154.49,-91.0,270.0,top
C16,160.2,-91.0,90.0,top
C17,159.15,-74.77,90.0,top
C18,154.8,-97.26,0.0,top
C19,153.04,-92.55,0.0,top
C2,163.46,-86.66,270.0,top
C20,153.68,-102.88,0.0,top
C21,162.27,-98.51,0.0,top
C3,159.84,-89.03,270.0,top
C4,162.63,-77.49,90.0,top
C5,152.64,-80.1,180.0,top
C6,154.97,-73.96,180.0,top
C7,160.2,-74.78,90.0,top
C8,161.59,-77.49,90.0,top
C9,162.91,-79.09,0.0,top
D1,155.79,-102.89,0.0,top
D2,158.0,-102.89,0.0,top
J1,157.77,-58.47,180.0,top
J2,148.88,-81.19,0.0,top
J3,166.66,-81.19,0.0,top
J4,153.815,-94.88,270.0,top
J5,157.77,-105.32,90.0,top
R1,159.16,-64.83,270.0,top
R10,152.85,-97.26,0.0,top
R11,157.56,-98.84,270.0,top
R12,151.23,-98.04,270.0,top
R13,151.23,-100.09,270.0,top
R14,163.03,-91.27,270.0,top
R2,156.52,-64.83,270.0,top
R3,158.42,-77.4525,270.0,top
R4,159.52,-77.4525,270.0,top
R5,157.77,-88.71,0.0,top
R6,152.98,-73.97,180.0,top
R7,161.87,-65.97,0.0,top
R8,157.635,-100.34,0.0,top
R9,157.59,-101.34,180.0,top
SW1,161.77,-69.39,90.0,top
SW3,162.24,-95.22,90.0,top
U1,157.77,-82.69,90.0,top
U2,155.32,-67.0875,270.0,top
U3,154.22,-100.0825,0.0,top
U4,154.03,-75.91,0.0,top
Y1,157.16,-91.0,180.0,top
